val_loss,epoch,step,train_loss
0.11855895817279816,0,40,
,1,49,0.19768865406513214
0.06145486980676651,1,81,
,2,99,0.026454303413629532
0.09364175796508789,2,122,
,3,149,0.13060519099235535
0.05203249305486679,3,163,
,4,199,0.031577710062265396
0.03997790068387985,4,204,
0.03232664242386818,5,245,
,6,249,0.11260344088077545
0.023376507684588432,6,286,
,7,299,0.00614848593249917
0.02514602430164814,7,327,
,8,349,0.0072607663460075855
0.04928524047136307,8,368,
,9,399,0.0026873035822063684
0.07884598523378372,9,409,
,10,449,0.006144920829683542
0.05526897683739662,10,450,
0.02139997109770775,11,491,
,12,499,0.003234880045056343
0.021687252447009087,12,532,
,13,549,0.004366949666291475
0.024843212217092514,13,573,
,14,599,0.002631272654980421
0.032755669206380844,14,614,
,15,649,0.02955474704504013
0.042056068778038025,15,655,
0.014948002994060516,16,696,
,17,699,0.0026214146055281162
0.019019223749637604,17,737,
,18,749,0.0025023564230650663
0.01420548278838396,18,778,
,19,799,0.0012527147773653269
0.022617429494857788,19,819,
