val_loss,epoch,step,train_loss
0.12609314918518066,0,40,
,1,49,0.03167489543557167
0.09465401619672775,1,81,
,2,99,0.2507894039154053
0.2613329589366913,2,122,
,3,149,0.25162220001220703
0.15413540601730347,3,163,
,4,199,0.018617043271660805
0.07471738755702972,4,204,
0.05510561913251877,5,245,
,6,249,0.11953110247850418
0.09474587440490723,6,286,
,7,299,0.21783173084259033
0.16062170267105103,7,327,
,8,349,0.03512817993760109
0.06879205256700516,8,368,
,9,399,0.01212320290505886
0.04382031410932541,9,409,
,10,449,0.06137125566601753
0.07961297780275345,10,450,
0.061301711946725845,11,491,
,12,499,0.06847548484802246
0.07949909567832947,12,532,
,13,549,0.005467129871249199
0.05485638976097107,13,573,
,14,599,0.009307095780968666
0.039535149931907654,14,614,
,15,649,0.009305284358561039
0.03575708344578743,15,655,
0.03536968678236008,16,696,
,17,699,0.38474664092063904
0.05896090716123581,17,737,
,18,749,0.23225244879722595
0.03657207638025284,18,778,
,19,799,0.09747831523418427
0.03999684005975723,19,819,
