val_loss,epoch,step,train_loss
0.5199245810508728,0,40,
,1,49,0.4360292851924896
0.43421152234077454,1,81,
,2,99,0.5183470845222473
0.3266479969024658,2,122,
,3,149,0.3080207109451294
0.34844154119491577,3,163,
,4,199,0.2407865822315216
0.30254238843917847,4,204,
0.2525419294834137,5,245,
,6,249,0.8156697154045105
0.2269621342420578,6,286,
,7,299,0.23126260936260223
0.2510436475276947,7,327,
,8,349,0.2706393897533417
0.35331884026527405,8,368,
,9,399,0.18843130767345428
0.19010613858699799,9,409,
,10,449,0.048172783106565475
0.18210121989250183,10,450,
0.15875643491744995,11,491,
,12,499,0.2745703458786011
0.25243377685546875,12,532,
,13,549,0.6779946684837341
0.22557783126831055,13,573,
,14,599,0.3499060571193695
0.17776261270046234,14,614,
,15,649,0.3665665090084076
0.1688041090965271,15,655,
0.13283179700374603,16,696,
,17,699,0.23292088508605957
0.223163902759552,17,737,
,18,749,0.42786356806755066
0.32818663120269775,18,778,
,19,799,0.09121599048376083
0.11502356082201004,19,819,
