val_loss,epoch,step,train_loss
0.7069420218467712,0,40,
,1,49,0.7328346371650696
0.70637446641922,1,81,
,2,99,0.7282692790031433
0.7057937979698181,2,122,
,3,149,0.6863521337509155
0.7053163051605225,3,163,
,4,199,0.7497865557670593
0.7047218680381775,4,204,
0.7042433619499207,5,245,
,6,249,0.7286550402641296
0.7037287354469299,6,286,
,7,299,0.7376615405082703
0.7032198309898376,7,327,
,8,349,0.6549904942512512
0.7028284072875977,8,368,
,9,399,0.7015068531036377
0.7024059891700745,9,409,
,10,449,0.6713169813156128
0.7020386457443237,10,450,
0.701644241809845,11,491,
,12,499,0.7481797933578491
0.701298177242279,12,532,
,13,549,0.6451429128646851
0.7009109854698181,13,573,
,14,599,0.6693240404129028
0.7005912065505981,14,614,
,15,649,0.6839958429336548
0.7002637386322021,15,655,
0.699893593788147,16,696,
,17,699,0.6813018321990967
0.6996523141860962,17,737,
,18,749,0.7015877962112427
0.6993855237960815,18,778,
,19,799,0.6423190832138062
0.6990798711776733,19,819,
