val_loss,epoch,step,train_loss
0.514575719833374,0,2,
0.5494598150253296,1,5,
0.5196851491928101,2,8,
0.5136110186576843,3,11,
0.5219132900238037,4,14,
0.5149741172790527,5,17,
0.5133817195892334,6,20,
0.49760836362838745,7,23,
0.44789451360702515,8,26,
0.305378794670105,9,29,
0.2379821240901947,10,32,
0.2062026560306549,11,35,
0.1801707148551941,12,38,
0.23475730419158936,13,41,
0.1682368516921997,14,44,
0.14830157160758972,15,47,
,16,49,0.15746957063674927
0.17582927644252777,16,50,
0.05824434012174606,17,53,
0.07522354274988174,18,56,
0.06509070098400116,19,59,
