val_loss,epoch,step,train_loss
0.5477375388145447,0,2,
0.5190972089767456,1,5,
0.5199760794639587,2,8,
0.5110695362091064,3,11,
0.5042318105697632,4,14,
0.5034637451171875,5,17,
0.506703794002533,6,20,
0.503793478012085,7,23,
0.4916192889213562,8,26,
0.47433480620384216,9,29,
0.4480920732021332,10,32,
0.41683143377304077,11,35,
0.3927973210811615,12,38,
0.36676788330078125,13,41,
0.3164428174495697,14,44,
0.2810283303260803,15,47,
,16,49,0.23572120070457458
0.2547033131122589,16,50,
0.21112021803855896,17,53,
0.17812149226665497,18,56,
0.15618622303009033,19,59,
