val_loss,epoch,step,train_loss
0.5526466369628906,0,2,
0.4924774169921875,1,5,
0.49957382678985596,2,8,
0.398546040058136,3,11,
0.272951602935791,4,14,
0.23656845092773438,5,17,
0.21168354153633118,6,20,
0.18465006351470947,7,23,
0.13404405117034912,8,26,
0.14778199791908264,9,29,
0.1248798817396164,10,32,
0.1206236332654953,11,35,
0.11029740422964096,12,38,
0.11419092863798141,13,41,
0.0567331463098526,14,44,
0.04529862850904465,15,47,
,16,49,0.02628694660961628
0.02813826873898506,16,50,
0.025543630123138428,17,53,
0.025630531832575798,18,56,
0.025478219613432884,19,59,
