val_loss,epoch,step,train_loss
0.42736485600471497,0,40,
,1,49,0.47651663422584534
0.18310986459255219,1,81,
,2,99,0.20749974250793457
0.1870056688785553,2,122,
,3,149,0.24003948271274567
0.5127813816070557,3,163,
,4,199,0.4051966667175293
0.2617974877357483,4,204,
0.32033252716064453,5,245,
,6,249,0.3367399573326111
0.15650542080402374,6,286,
,7,299,0.2445485144853592
0.24548113346099854,7,327,
,8,349,0.13172118365764618
0.13054673373699188,8,368,
,9,399,0.16128160059452057
0.2354022115468979,9,409,
,10,449,0.5067722201347351
0.4809226393699646,10,450,
0.14181400835514069,11,491,
,12,499,0.13461855053901672
0.175961434841156,12,532,
,13,549,0.05687633901834488
0.07817739993333817,13,573,
,14,599,0.02838560938835144
0.11463665962219238,14,614,
,15,649,0.013605698943138123
0.11821362376213074,15,655,
0.26411202549934387,16,696,
,17,699,0.025487693026661873
0.13621242344379425,17,737,
,18,749,0.01799304038286209
0.1336604207754135,18,778,
,19,799,0.16409710049629211
0.13635511696338654,19,819,
