val_loss,epoch,step,train_loss
0.1908303201198578,0,40,
,1,49,0.1555240899324417
0.15594573318958282,1,81,
,2,99,0.03200524300336838
0.06682384014129639,2,122,
,3,149,0.3225461542606354
0.0760108232498169,3,163,
,4,199,0.016085322946310043
0.11633152514696121,4,204,
0.1343701332807541,5,245,
,6,249,0.032758839428424835
0.056046031415462494,6,286,
,7,299,0.0068083410151302814
0.0843655914068222,7,327,
,8,349,0.14448294043540955
0.052739180624485016,8,368,
,9,399,0.1763734519481659
0.047815825790166855,9,409,
,10,449,0.009957930073142052
0.06115061417222023,10,450,
