val_loss,epoch,step,train_loss
0.3270491361618042,0,8,
0.27296167612075806,1,17,
0.25873279571533203,2,26,
0.25273266434669495,3,35,
0.24934227764606476,4,44,
,5,49,0.2510603368282318
0.24745774269104004,5,53,
0.24620191752910614,6,62,
0.24482756853103638,7,71,
0.24418289959430695,8,80,
0.24426108598709106,9,89,
0.24317890405654907,10,98,
,11,99,0.2344657927751541
0.24491845071315765,11,107,
0.24366848170757294,12,116,
0.24293282628059387,13,125,
0.24646367132663727,14,134,
0.24177826941013336,15,143,
,16,149,0.2340724766254425
0.24305850267410278,16,152,
0.2420891374349594,17,161,
0.2416449636220932,18,170,
0.2433629333972931,19,179,
